"Ranking","Team","Rating"
1," York_PA",210.5
2," Adrian",0
3," Albertus_Magnus",0
4," Albion",0
5," Albright",0
6," Alfred",0
7," Alfred_St",0
8," Allegheny",0
9," Alma",0
10," Alvernia",0
11," Amherst",0
12," Anderson_IN",0
13," Anna_Maria",0
14," Arcadia",0
15," Augsburg",0
16," Augustana_IL",0
17," Aurora",0
18," Austin_Col",0
19," Averett",0
20," Babson",0
21," Baldwin-Wallace",0
22," Bard",0
23," Baruch",0
24," Bates",0
25," Becker",0
26," Belhaven_MS",0
27," Beloit",0
28," Benedictine_IL",0
29," Berry",0
30," Bethany_Luth",0
31," Bethany_WV",0
32," Bethel_MN",0
33," Birmingham_So",0
34," Blackburn",0
35," Bluffton",0
36," Bowdoin",0
37," Brandeis",0
38," Bridgewater_MA",0
39," Bridgewater_VA",0
40," Brockport_St",0
41," Brooklyn_Col",0
42," Bryn_Athyn",0
43," Buena_Vista",0
44," Buffalo_St",0
45," Cabrini",0
46," Cairn",0
47," Cal_Lutheran",0
48," Caltech",0
49," Calvin",0
50," Capital",0
51," Carleton_MN",0
52," Carnegie_Mellon",0
53," Carroll_WI",0
54," Carthage",0
55," Case_Western",0
56," Castleton",0
57," Catholic",0
58," Cazenovia",0
59," Centenary",0
60," Centenary_NJ",0
61," Central_IA",0
62," Centre",0
63," Chapman",0
64," Chatham",0
65," Chicago",0
66," Chris_Newport",0
67," City_Col_NY",0
68," Claremont_M.S.",0
69," Clark_MA",0
70," Clarkson",0
71," Coast_Guard",0
72," Coe",0
73," Colby",0
74," Colby-Sawyer",0
75," College_of_NJ",0
76," Colorado_Col",0
77," Concordia_IL",0
78," Concordia_Mhd",0
79," Concordia_TX",0
80," Concordia_WI",0
81," Cornell_IA",0
82," Cortland_St",0
83," Covenant",0
84," Crown_MN",0
85," CT_College",0
86," Curry",0
87," D'Youville",0
88," Dallas_Univ",0
89," Daniel_Webster",0
90," Defiance",0
91," Delaware_Val",0
92," Denison",0
93," DePauw",0
94," DeSales",0
95," Dickinson",0
96," Dominican_IL",0
97," Drew",0
98," Dubuque",0
99," E_Connecticut",0
100," E_Mennonite",0
101," E_Nazarene",0
102," E_Texas_Bap",0
103," Earlham",0
104," Eastern_Univ",0
105," Edgewood",0
106," Elizabethtown",0
107," Elmhurst",0
108," Elmira",0
109," Elms",0
110," Emerson",0
111," Emmanuel_MA",0
112," Emory",0
113," Emory_&_Henry",0
114," Endicott",0
115," Eureka",0
116," Farmingdale",0
117," FDU_Madison",0
118," Ferrum",0
119," Finlandia",0
120," Fitchburg_St",0
121," Fontbonne",0
122," Framingham_St",0
123," Franciscan_OH",0
124," Frank_&_Marsh",0
125," Franklin_IN",0
126," Frostburg_St",0
127," Gallaudet",0
128," Geneseo_St",0
129," Geneva",0
130," George_Fox",0
131," Gettysburg",0
132," Gordon",0
133," Goucher",0
134," Green_Mtn",0
135," Greensboro",0
136," Greenville",0
137," Grinnell",0
138," Grove_City",0
139," Guilford",0
140," Gust_Adolphus",0
141," Gwynedd-Mercy",0
142," Hamilton",0
143," Hamline",0
144," Hampden-Sydney",0
145," Hanover",0
146," Hardin-Simmons",0
147," Hartwick",0
148," Haverford",0
149," Heidelberg",0
150," Hendrix",0
151," Hilbert",0
152," Hiram",0
153," Hobart_&_Smith",0
154," Hood",0
155," Hope",0
156," Houghton",0
157," Howard_Payne",0
158," Hunter",0
159," Huntingdon",0
160," Husson",0
161," IL_Tech",0
162," IL_Wesleyan",0
163," Illinois_Col",0
164," Immaculata",0
165," Iowa_Wesleyan",0
166," Ithaca",0
167," J&W_RI",0
168," John_Carroll",0
169," John_Jay",0
170," Johns_Hopkins",0
171," Johnson_St",0
172," Juniata",0
173," Kalamazoo",0
174," Kean",0
175," Keene_St",0
176," Kenyon",0
177," Keuka",0
178," Keystone",0
179," King's_PA",0
180," Knox",0
181," La_Roche",0
182," La_Verne",0
183," LaGrange",0
184," Lake_Forest",0
185," Lakeland",0
186," Lancaster_Bib",0
187," Lasell",0
188," Lawrence",0
189," Le_Tourneau",0
190," Lebanon_Val",0
191," Lehman",0
192," Lesley",0
193," Lewis_&_Clark",0
194," Linfield",0
195," Loras",0
196," Louisiana_Col",0
197," Luther_IA",0
198," Luther_MN",0
199," Lycoming",0
200," Lynchburg",0
201," Lyndon_St",0
202," M_Hardin-Baylor",0
203," MA_Boston",0
204," MA_Dartmouth",0
205," MA_Liberal_Arts",0
206," Macalester",0
207," MacMurray",0
208," Manchester",0
209," Manhattanville",0
210," Maranatha_Bap",0
211," Marian_WI",0
212," Marietta",0
213," Mary_Washington",0
214," Marymount_VA",0
215," Maryville_TN",0
216," Marywood",0
217," McDaniel_Col",0
218," McMurry",0
219," ME_Farmington",0
220," ME_Maritime",0
221," ME_Presque_Isle",0
222," Medaille",0
223," Medgar_Evers",0
224," Merchant_Marine",0
225," Messiah",0
226," Methodist",0
227," Middlebury",0
228," Millikin",0
229," Millsaps",0
230," Milwaukee_Eng",0
231," Misericordia",0
232," MIT",0
233," Mitchell",0
234," MN_Morris",0
235," Monmouth_IL",0
236," Montclair_St",0
237," Moravian",0
238," Morrisville_St",0
239," Mt_Aloysius",0
240," Mt_Ida",0
241," Mt_St_Joseph",0
242," Mt_St_Mary_NY",0
243," Mt_St_Vincent",0
244," Mt_Union",0
245," Muhlenberg",0
246," Muskingum",0
247," N_Central_IL",0
248," N_Central_MN",0
249," N_England_Col",0
250," Nazareth",0
251," NC_Wesleyan",0
252," Neumann",0
253," Newbury",0
254," Nichols",0
255," NJ_City",0
256," North_Park",0
257," Northland",0
258," Northwestern_MN",0
259," Norwich",0
260," NY_Maritime",0
261," NYU",0
262," Oberlin",0
263," Occidental",0
264," Oglethorpe",0
265," Ohio_Northern",0
266," Ohio_Wesleyan",0
267," Old_Westbury",0
268," Olivet_MI",0
269," Oswego_St",0
270," Otterbein",0
271," Pac_Lutheran",0
272," Pacific_OR",0
273," Peace",0
274," Penn_Col_Tech",0
275," Piedmont",0
276," Pine_Manor",0
277," Pitt-Bradford",0
278," Pitt-Greensburg",0
279," Plattsburgh_St",0
280," Plymouth_St",0
281," Pomona_Pitzer",0
282," Principia",0
283," PSU-Abington",0
284," PSU-Altoona",0
285," PSU-Behrend",0
286," PSU-Berks",0
287," PSU-Harrisburg",0
288," Puget_Sound",0
289," Purchase",0
290," R_Stockton",0
291," Ramapo",0
292," Randolph_Col",0
293," Randolph_Macon",0
294," Redlands",0
295," Regis_MA",0
296," Rensselaer",0
297," Rhodes",0
298," RI_College",0
299," Ripon",0
300," Rivier",0
301," Roanoke",0
302," Rochester_NY",0
303," Rochester_Tech",0
304," Rockford",0
305," Roger_Williams",0
306," Rose-Hulman",0
307," Rosemont",0
308," Rowan",0
309," Russell_Sage",0
310," Rust",0
311," Rutgers-Camden",0
312," Rutgers-Newark",0
313," S_Maine",0
314," S_Vermont",0
315," S_Virginia",0
316," Salem_MA",0
317," Salisbury_St",0
318," Salve_Regina",0
319," Sarah_Lawrence",0
320," Schreiner",0
321," Scranton",0
322," Sewanee",0
323," Shenandoah",0
324," Simpson_IA",0
325," Skidmore",0
326," Spalding",0
327," Springfield",0
328," St_John_Fisher",0
329," St_John's_MN",0
330," St_Joseph's_LI",0
331," St_Joseph's_ME",0
332," St_Joseph's_NY",0
333," St_Lawrence",0
334," St_Mary's_MD",0
335," St_Mary's_MN",0
336," St_Norbert",0
337," St_Olaf",0
338," St_Scholastica",0
339," St_Thomas_MN",0
340," St_Vincent",0
341," Staten_Island",0
342," Stevens_Tech",0
343," Stevenson",0
344," Suffolk",0
345," Sul_Ross",0
346," Summit",0
347," SUNY_Fredonia",0
348," SUNY_New_Paltz",0
349," SUNY_Oneonta",0
350," SUNY_Potsdam",0
351," SUNY-Cobleskill",0
352," SUNYIT",0
353," Susquehanna",0
354," SW_Univ_TX",0
355," Swarthmore",0
356," Thiel",0
357," Thomas_ME",0
358," Thomas_More",0
359," Transylvania",0
360," Trine",0
361," Trinity_CT",0
362," Trinity_TX",0
363," Tufts",0
364," TX_Lutheran",0
365," U_New_England",0
366," UC_Santa_Cruz",0
367," Union_NY",0
368," Univ_Ozarks",0
369," Ursinus",0
370," UT_Dallas",0
371," UT_Tyler",0
372," Utica",0
373," VA_Wesleyan",0
374," Valley_Forge",0
375," Vassar",0
376," W_Connecticut",0
377," W_New_England",0
378," Wabash",0
379," Wartburg",0
380," Wash_&_Jeff",0
381," Wash_&_Lee",0
382," Washington_MD",0
383," Washington_MO",0
384," Waynesburg",0
385," Webster_Univ",0
386," Wells",0
387," Wentworth_Tech",0
388," Wesley_DE",0
389," Wesleyan_CT",0
390," Westfield_St",0
391," Westminster_MO",0
392," Westminster_PA",0
393," Wheaton_IL",0
394," Wheaton_MA",0
395," Wheelock",0
396," Whitman",0
397," Whittier",0
398," Whitworth",0
399," WI_Eau_Claire",0
400," WI_LaCrosse",0
401," WI_Lutheran",0
402," WI_Oshkosh",0
403," WI_Platteville",0
404," WI_River_Falls",0
405," WI_Stevens_Pt",0
406," WI_Stout",0
