"Ranking","Team","Rating"
1,"Gonzaga",5.18594918966526
2,"Villanova",4.580172417286
3,"North Carolina",4.24033601068465
4,"West Virginia",4.23115268045931
5,"Kentucky",4.15078917206625
6,"Duke",3.74806783071815
7,"Louisville",3.73196417801333
8,"Kansas",3.55528491816125
9,"Virginia",3.47349563487392
10,"Florida",3.45400734229246
11,"Purdue",3.3217316171127
12,"Florida St",3.25453066048602
13,"UCLA",3.23790673578536
14,"Wichita St",3.20152381481002
15,"Iowa St",3.19328390696149
16,"Baylor",3.18968032257357
17,"Michigan",3.18021450745491
18,"SMU",3.14787520787476
19,"Wisconsin",3.08379366004198
20,"Notre Dame",3.08304735308629
21,"Oregon",3.03181466315089
22,"Arizona",2.87229444737517
23,"Cincinnati",2.79416587626555
24,"Butler",2.76905196677421
25,"Oklahoma St",2.72833720447317
26,"Creighton",2.721570904071
27,"St Mary's CA",2.46266802159281
28,"Kansas St",2.41532643412187
29,"Marquette",2.37663816613343
30,"Minnesota",2.37138752851785
31,"Northwestern",2.28543540093052
32,"Miami FL",2.26726379969101
33,"Indiana",2.25556547994017
34,"Vanderbilt",2.25023755352995
35,"Wake Forest",2.20316128680238
36,"South Carolina",2.19498886166273
37,"Xavier",2.14694388142915
38,"TCU",2.14439818184855
39,"Virginia Tech",2.12170328928385
40,"Michigan St",2.11295401407071
41,"Texas Tech",2.10609799167584
42,"Clemson",2.0886015740369
43,"Arkansas",2.03572424812087
44,"Maryland",2.03043616902366
45,"Syracuse",2.02873155438427
46,"Seton Hall",1.96977433025943
47,"Providence",1.89730320778175
48,"Rhode Island",1.89376380636069
49,"VA Commonwealth",1.85033071148872
50,"Alabama",1.84351093685631
51,"Texas",1.8138532062286
52,"Georgia",1.80514748679509
53,"Pittsburgh",1.79227576997424
54,"Dayton",1.78895325885985
55,"Tennessee",1.75954120534823
56,"Ohio St",1.73612956627757
57,"California",1.72135338500818
58,"Georgetown",1.71907762802172
59,"Oklahoma",1.70517346479968
60,"MTSU",1.67895934916024
61,"Utah",1.67568020366731
62,"USC",1.65270273784405
63,"Iowa",1.65136720262137
64,"Houston",1.6483120168606
65,"UCF",1.63072509404643
66,"Nevada",1.60453277657997
67,"BYU",1.5912962099659
68,"Mississippi",1.5724288795724
69,"Texas A&M",1.56246449539666
70,"Georgia Tech",1.55253032638963
71,"Illinois",1.54490328102438
72,"Illinois St",1.49251785555903
73,"Colorado",1.46015584089553
74,"Penn St",1.45641611473336
75,"St John's",1.39901312227051
76,"UNC Wilmington",1.36111134767242
77,"Connecticut",1.32179168930226
78,"Auburn",1.3110695332591
79,"Memphis",1.28611951549867
80,"Mississippi St",1.28448675401851
81,"ETSU",1.27349490607575
82,"Nebraska",1.27171401131
83,"Temple",1.25791149138909
84,"Davidson",1.2500789598144
85,"San Diego St",1.24400145654148
86,"Vermont",1.24033697125171
87,"NC State",1.22770136273043
88,"Richmond",1.2225113349729
89,"St Bonaventure",1.20570188703756
90,"Colorado St",1.17387242367851
91,"Bucknell",1.17117417898916
92,"UT Arlington",1.14241997133433
93,"Col Charleston",1.1371653320317
94,"Stanford",1.12172142792204
