"Ranking","Team","Rating"
1,"PR_Rio_Piedras",1093
2,"Abilene_Chr",0
3,"Academy_of_Art",0
4,"Adams_St",0
5,"Adelphi",0
6,"Adrian",0
7,"Air_Force",0
8,"AK_Anchorage",0
9,"AK_Fairbanks",0
10,"Akron",0
11,"AL_Huntsville",0
12,"Alabama",0
13,"Alabama_A&M",0
14,"Alabama_St",0
15,"Albany_GA",0
16,"Albany_NY",0
17,"Albertus_Magnus",0
18,"Albion",0
19,"Albright",0
20,"Alcorn_St",0
21,"Ald-Broaddus",0
22,"Alfred",0
23,"Alfred_St",0
24,"Allegheny",0
25,"Alma",0
26,"Alvernia",0
27,"American_Intl",0
28,"American_Univ",0
29,"Amherst",0
30,"Anderson_IN",0
31,"Anderson_SC",0
32,"Angelo_St",0
33,"Anna_Maria",0
34,"Appalachian_St",0
35,"Arcadia",0
36,"Arizona",0
37,"Arizona_St",0
38,"Ark_Little_Rock",0
39,"Ark_Monticello",0
40,"Ark_Pine_Bluff",0
41,"Arkansas",0
42,"Arkansas_St",0
43,"Arkansas_Tech",0
44,"Arkansas-FS",0
45,"Armstrong_St",0
46,"Army",0
47,"Ashland",0
48,"Assumption",0
49,"Auburn",0
50,"Auburn_M'gomery",0
51,"Augsburg",0
52,"Augusta",0
53,"Augustana_IL",0
54,"Augustana_SD",0
55,"Aurora",0
56,"Austin_Col",0
57,"Austin_Peay",0
58,"Averett",0
59,"Azusa_Pacific",0
60,"Babson",0
61,"Baldwin-Wallace",0
62,"Ball_St",0
63,"Bard",0
64,"Barry",0
65,"Barton",0
66,"Baruch",0
67,"Bates",0
68,"Baylor",0
69,"Becker",0
70,"Belhaven_MS",0
71,"Bellarmine",0
72,"Belmont",0
73,"Belmont_Abbey",0
74,"Beloit",0
75,"Bemidji_St",0
76,"Benedict",0
77,"Benedictine_IL",0
78,"Bentley",0
79,"Berea",0
80,"Berry",0
81,"Bethany_Luth",0
82,"Bethany_WV",0
83,"Bethel_MN",0
84,"Bethune-Cookman",0
85,"Binghamton",0
86,"Biola",0
87,"Birmingham_So",0
88,"Black_Hills_St",0
89,"Blackburn",0
90,"Bloomfield",0
91,"Bloomsburg",0
92,"Bluefield_WV",0
93,"Bluffton",0
94,"Boise_St",0
95,"Boston_College",0
96,"Boston_Univ",0
97,"Bowdoin",0
98,"Bowie_St",0
99,"Bowling_Green",0
100,"Bradley",0
101,"Brandeis",0
102,"Brevard",0
103,"Bridgeport",0
104,"Bridgewater_MA",0
105,"Bridgewater_VA",0
106,"Brockport_St",0
107,"Brooklyn_Col",0
108,"Brown",0
109,"Bryant",0
110,"Bryn_Athyn",0
111,"Bucknell",0
112,"Buena_Vista",0
113,"Buffalo",0
114,"Buffalo_St",0
115,"Butler",0
116,"BYU",0
117,"BYU_Hawaii",0
118,"C_Michigan",0
119,"C_Missouri",0
120,"C_Oklahoma",0
121,"C_Washington",0
122,"Cabrini",0
123,"Cairn",0
124,"Cal_Baptist",0
125,"Cal_Lutheran",0
126,"Cal_Poly",0
127,"Cal_St-LA",0
128,"Caldwell",0
129,"California",0
130,"California_PA",0
131,"Caltech",0
132,"Calvin",0
133,"Cameron",0
134,"Campbell",0
135,"Canisius",0
136,"Capital",0
137,"Carleton_MN",0
138,"Carnegie_Mellon",0
139,"Carroll_WI",0
140,"Carson-Newman",0
141,"Carthage",0
142,"Case_Western",0
143,"Castleton",0
144,"Catawba",0
145,"Catholic",0
146,"Cazenovia",0
147,"Cedarville",0
148,"Cent_Arkansas",0
149,"Centenary",0
150,"Centenary_NJ",0
151,"Central_Conn",0
152,"Central_IA",0
153,"Central_St_OH",0
154,"Centre",0
155,"Chadron_St",0
156,"Chaminade",0
157,"Chapman",0
158,"Charleston_So",0
159,"Charleston_WV",0
160,"Charlotte",0
161,"Chatham",0
162,"Chattanooga",0
163,"Chestnut_Hill",0
164,"Cheyney_St",0
165,"Chicago",0
166,"Chicago_St",0
167,"Chowan",0
168,"Chr_Brothers",0
169,"Chris_Newport",0
170,"Cincinnati",0
171,"Citadel",0
172,"City_Col_NY",0
173,"Claflin",0
174,"Claremont_M.S.",0
175,"Clarion",0
176,"Clark_Atlanta",0
177,"Clark_MA",0
178,"Clarkson",0
179,"Clayton_St",0
180,"Clemson",0
181,"Cleveland_St",0
182,"Coast_Guard",0
183,"Coastal_Car",0
184,"Coe",0
185,"Coker",0
186,"Col_Charleston",0
187,"Col_Springs",0
188,"Colby",0
189,"Colby-Sawyer",0
190,"Colgate",0
191,"College_of_NJ",0
192,"Colorado",0
193,"Colorado_Chr",0
194,"Colorado_Col",0
195,"Colorado_Mines",0
196,"Colorado_St",0
197,"Columbia",0
198,"Columbus_St",0
199,"Concord",0
200,"Concordia_CA",0
201,"Concordia_IL",0
202,"Concordia_Mhd",0
203,"Concordia_NY",0
204,"Concordia_OR",0
205,"Concordia_SP",0
206,"Concordia_TX",0
207,"Concordia_WI",0
208,"Connecticut",0
209,"Coppin_St",0
210,"Cornell",0
211,"Cornell_IA",0
212,"Cortland_St",0
213,"Covenant",0
214,"Creighton",0
215,"Crown_MN",0
216,"CS_Bakersfield",0
217,"CS_Chico",0
218,"CS_Dom._Hills",0
219,"CS_Fullerton",0
220,"CS_Monterey_Bay",0
221,"CS_Northridge",0
222,"CS_Poly_Pomona",0
223,"CS_Sacramento",0
224,"CS_San_Bern.",0
225,"CS_San_Marcos",0
226,"CS_Stanislaus",0
227,"CSU_East_Bay",0
228,"CSU-Pueblo",0
229,"CT_College",0
230,"Curry",0
231,"CW_Post",0
232,"D'Youville",0
233,"Daemen",0
234,"Dallas_Bap",0
235,"Dallas_Univ",0
236,"Daniel_Webster",0
237,"Dartmouth",0
238,"Davenport",0
239,"Davidson",0
240,"Davis_&_Elkins",0
241,"Dayton",0
242,"Dean",0
243,"Defiance",0
244,"Delaware",0
245,"Delaware_St",0
246,"Delaware_Val",0
247,"Delta_St",0
248,"Denison",0
249,"Denver",0
250,"DePaul",0
251,"DePauw",0
252,"DeSales",0
253,"Detroit",0
254,"Dickinson",0
255,"Dist_Columbia",0
256,"Dixie_St",0
257,"Dominican_CA",0
258,"Dominican_IL",0
259,"Dominican_NY",0
260,"Drake",0
261,"Drew",0
262,"Drexel",0
263,"Drury",0
264,"Dubuque",0
265,"Duke",0
266,"Duquesne",0
267,"E_Connecticut",0
268,"E_Illinois",0
269,"E_Kentucky",0
270,"E_Mennonite",0
271,"E_Michigan",0
272,"E_Nazarene",0
273,"E_New_Mexico",0
274,"E_Stroudsburg",0
275,"E_Texas_Bap",0
276,"E_Washington",0
277,"Earlham",0
278,"East_Carolina",0
279,"East_Central_OK",0
280,"Eastern_Univ",0
281,"Eckerd",0
282,"Edgewood",0
283,"Edinboro",0
284,"Edwardsville",0
285,"Eliz._City_St",0
286,"Elizabethtown",0
287,"Elmhurst",0
288,"Elmira",0
289,"Elms",0
290,"Elon",0
291,"Embry-Riddle_FL",0
292,"Emerson",0
293,"Emmanuel_GA",0
294,"Emmanuel_MA",0
295,"Emory",0
296,"Emory_&_Henry",0
297,"Emporia_St",0
298,"Endicott",0
299,"Erskine",0
300,"ETSU",0
301,"Eureka",0
302,"Evansville",0
303,"F_Dickinson",0
304,"Fairfield",0
305,"Fairmont_St",0
306,"Farmingdale",0
307,"Fayetteville_St",0
308,"FDU_Madison",0
309,"Felician",0
310,"Ferris_St",0
311,"Ferrum",0
312,"Findlay",0
313,"Finlandia",0
314,"Fitchburg_St",0
315,"FL_Atlantic",0
316,"FL_Gulf_Coast",0
317,"FL_Southern",0
318,"Flagler",0
319,"Florida",0
320,"Florida_A&M",0
321,"Florida_Intl",0
322,"Florida_St",0
323,"Florida_Tech",0
324,"Fontbonne",0
325,"Fordham",0
326,"Fort_Hays_St",0
327,"Fort_Valley_St",0
328,"Framingham_St",0
329,"Francis_Marion",0
330,"Franciscan_OH",0
331,"Frank_&_Marsh",0
332,"Franklin_IN",0
333,"Franklin_Pierce",0
334,"Fresno_Pacific",0
335,"Fresno_St",0
336,"Frostburg_St",0
337,"Ft_Lewis",0
338,"Furman",0
339,"G_Washington",0
340,"Ga_Southern",0
341,"Gallaudet",0
342,"Gannon",0
343,"Gardner_Webb",0
344,"Geneseo_St",0
345,"Geneva",0
346,"George_Fox",0
347,"George_Mason",0
348,"Georgetown",0
349,"Georgia",0
350,"Georgia_C&S",0
351,"Georgia_St",0
352,"Georgia_SW",0
353,"Georgia_Tech",0
354,"Georgian_Court",0
355,"Gettysburg",0
356,"Glenville_St",0
357,"Goldey_Beacom",0
358,"Gonzaga",0
359,"Gordon",0
360,"Goucher",0
361,"Grambling",0
362,"Grand_Canyon",0
363,"Grand_Valley_St",0
364,"Green_Mtn",0
365,"Greensboro",0
366,"Greenville",0
367,"Grinnell",0
368,"Grove_City",0
369,"Guilford",0
370,"Gust_Adolphus",0
371,"Gwynedd-Mercy",0
372,"Hamilton",0
373,"Hamline",0
374,"Hampden-Sydney",0
375,"Hampton",0
376,"Hanover",0
377,"Hardin-Simmons",0
378,"Harding",0
